phase,eval_set,calibrator_method,ece,mce,brier_loss,roc_auc,pr_auc
phase1,val_calibrated,isotonic,4.248707969148017e-07,3.440096127516057e-06,0.0872163419448991,0.92913882609728,0.8003281144069442
phase1,test_calibrated,isotonic,0.0105431963987096,0.047923514760214,0.0825912347421634,0.9380036758344436,0.8304223022499573
phase1,val_raw,isotonic,0.0546054450869665,0.1669555310892243,0.0938622576742579,0.9284048634047578,0.806110668953967
phase1,test_raw,isotonic,0.0539761546256458,0.1620318742277019,0.0876102366855115,0.9384314548333118,0.8382316459893905
phase21,val_calibrated,isotonic,3.34166114333629e-07,3.584960475750418e-06,0.0760669877984721,0.9437904966914638,0.8467594371770015
phase21,test_calibrated,isotonic,0.0055857154236662,0.0256249035816598,0.0747823090421841,0.9476032804159612,0.8646700374109869
phase21,val_raw,isotonic,0.0528260006850109,0.1642975425427286,0.0820428605875153,0.9431130494070024,0.8518410533919286
phase21,test_raw,isotonic,0.0493240154251851,0.1442536408737007,0.0792346363690241,0.9479043643295753,0.870965261378379
