metric,point_delta,bootstrap_mean_delta,ci_low,ci_high,p_value_one_sided,n_samples,n_boot_used,n_boot_skipped,slice
roc_auc,0.0763975155279503,0.0763995254648206,-0.020724488059091,0.17204659375712,0.073,201,1000,0,holdout
pr_auc,0.0375456203384259,0.0383230192747102,-0.0049895675090104,0.0796472986414175,0.041,201,1000,0,holdout
roc_auc,0.015562248995983852,0.015528392012958477,-0.04052616611749552,0.0715331118159961,0.281,642,1000,0,full
pr_auc,0.015668004428034843,0.015546257870144832,-0.010683443695365261,0.04124856976407102,0.13,642,1000,0,full
