calibrator,split,n,brier,reliability,resolution,uncertainty,ece,mce,log_loss,recomposition_residual
raw,val,28079,0.09387342084456153,0.006034842576074754,0.09305204878026041,0.18143431918411157,0.054605445086966575,0.16695553108922434,0.3015511395204537,-0.0005436921353643848
raw,test,28098,0.08764409524285624,0.005433920950649591,0.10550163551164363,0.1884837132450626,0.05397615462564582,0.16203187422770193,0.2860121998795473,-0.0007719034412123349
platt,val,28079,0.08962952592749089,0.0017318456839275516,0.09305204878026041,0.18143431918411157,0.03459390831589406,0.08513493601256672,0.2947275267251665,-0.00048459016028781776
platt,test,28098,0.08343359621756401,0.0011351117133563205,0.10550163551164363,0.1884837132450626,0.029072153921835646,0.06839375317184448,0.27776971703953746,-0.000683593229211299
isotonic,val,28079,0.08721244634513602,6.275086680549373e-27,0.09341266205750784,0.18143431918411157,6.99934492444705e-15,1e-12,0.2809011387805952,-0.0008092107814677146
isotonic,test,28098,0.08262409828352933,0.00023910824876391393,0.10527156463563933,0.1884837132450626,0.010544655275045289,0.04812618405390656,0.27259170065375804,-0.0008271585746578575
