slice,variant,n,n_pos,ece,brier,reliability,resolution,uncertainty
full,raw,642,498,0.43898375824999025,0.38260547341739376,0.21437187122505888,0.00539900560822465,0.17398899467202378
full,isotonic,642,498,0.5393735810858995,0.4732632333397661,0.3013212953712333,0.002156644666573489,0.17398899467202378
family_holdout,raw,201,161,0.456285168208293,0.37386309135767687,0.22523722913204375,0.00962888254044414,0.15940199500012375
family_holdout,isotonic,201,161,0.558321233810996,0.4735194568867257,0.32207721805765305,0.00769707053192085,0.15940199500012375
