trial,state,val_pr_auc,val_roc_auc,best_iteration,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma,reg_alpha,reg_lambda,max_delta_step,score
32,COMPLETE,0.8097923438717711,0.9305163869681391,171,8,0.030185246704676764,10,0.8167743829039052,0.6242326441733154,0.9907061203793806,3.9526170348231866,0.0001829647387962736,0.44403251847965297,2,0.8097923438717711
37,COMPLETE,0.8092387062853725,0.9302601064043373,111,9,0.04217861708397516,9,0.7442019558968145,0.7552596180358664,0.8621823071567473,1.4055128916682011,0.01784725829452931,0.5266096124988157,3,0.8092387062853725
38,COMPLETE,0.8092098557108949,0.9305790056762925,183,9,0.02836456937284689,10,0.6947244691894605,0.7037697772437861,0.8426732948254289,1.5854966337883207,0.016725911712570395,0.8392867935627291,2,0.8092098557108949
39,COMPLETE,0.8089020413781098,0.9306694122007907,78,9,0.04862137941867971,7,0.7036657849086261,0.8232627244544066,0.8675580809427319,1.028002395196686,0.05445570574191882,0.7086483292784421,4,0.8089020413781098
34,COMPLETE,0.8076676648276512,0.9310895849558622,126,9,0.03327985993369645,10,0.8486705690236848,0.6265274349386069,0.8243038539704935,2.559857660324497,0.0003093979359956655,0.47959211472917057,2,0.8076676648276512
36,COMPLETE,0.8073660799444479,0.9292934574044305,160,7,0.037009123407562,9,0.7770223453014435,0.6322463754419833,0.9125621431474493,1.2056103663645712,0.024950833056074533,0.5323441642296144,3,0.8073660799444479
20,COMPLETE,0.8072484899728102,0.9291989648475665,147,9,0.037082710708250186,6,0.9541661784706256,0.6280074090159253,0.8638380454236734,0.034218648028072805,0.00040464813892735987,0.34715752217786944,0,0.8072484899728102
29,COMPLETE,0.8071333798322908,0.9290361282437855,202,7,0.030730741972996176,9,0.9567653679950003,0.6004319984018139,0.9972717037477108,0.9514613278411976,0.0013037401260866622,2.2151826299590627,0,0.8071333798322908
17,COMPLETE,0.8070781221397711,0.9287422624738004,80,9,0.057372447737288015,6,0.9922874696004351,0.7940809888660755,0.8471506955323727,0.4622496240330183,0.0014479982762708589,0.39725059818964087,0,0.8070781221397711
27,COMPLETE,0.806991360298192,0.9293471525534477,227,8,0.02467545218242034,10,0.8731624796927234,0.5934159904018387,0.9661145808781051,0.15697243236547304,0.00019911447427070945,0.7238336622055516,0,0.806991360298192
