fraction,n_train,n_train_pos,val_roc,val_pr,test_roc,test_pr
0.1,12904,3126,0.9142606262567082,0.7464969785731128,0.9322261407090937,0.8166640306750045
0.25,37398,9398,0.9215176888780171,0.7890251197448503,0.935633997869999,0.8246555868890187
0.5,66280,15863,0.9255652971600418,0.796381091317492,0.9354851746659979,0.8238010880470819
0.75,103910,25513,0.9320131401208364,0.8052440896751349,0.9407828163699343,0.8388079257751744
1.0,138921,33977,0.9320003821925774,0.8049659980512024,0.9392944331278059,0.8344415114895589
