eval_set,constraint,threshold,precision,recall,achieved
val_raw,recall>=0.80,0.6280521750450134,0.6955673989340959,0.8002093614475849,True
val_raw,recall>=0.90,0.3652971088886261,0.5939998026250863,0.9001046807237925,True
val_raw,recall>=0.95,0.17201438546180725,0.5026902990979586,0.9500523403618962,True
val_raw,recall>=0.99,0.03150363638997078,0.36119142436310075,0.9901301031852848,True
val_raw,precision>=0.80,0.8247309327125549,0.8001171188756588,0.6129804097502617,True
val_raw,precision>=0.90,0.9510582685470581,0.9001103752759382,0.24390608643636907,True
val_raw,precision>=0.95,0.9807854294776917,0.9510309278350515,0.05518169582772544,True
val_raw,precision>=0.99,0.991431474685669,1.0,0.002841333931508898,True
val_calibrated,recall>=0.80,0.39071038365364075,0.6917158245704027,0.8066397487662629,True
val_calibrated,recall>=0.90,0.18610422313213348,0.572548287767099,0.917601315986242,True
val_calibrated,recall>=0.95,0.09459459781646729,0.49534233814625056,0.9542395693135935,True
val_calibrated,recall>=0.99,0.03050847537815571,0.35677770004843135,0.9914759982054733,True
val_calibrated,precision>=0.80,0.6693766713142395,0.8001171188756588,0.6129804097502617,True
val_calibrated,precision>=0.90,0.8666666746139526,0.9203065134099617,0.17960221324958875,True
val_calibrated,precision>=0.95,0.9411764740943909,0.9547872340425532,0.05368625691640497,True
val_calibrated,precision>=0.99,1.0,1.0,0.002841333931508898,True
test_raw,recall>=0.80,0.6397985816001892,0.7465419575813463,0.8004237288135593,True
test_raw,recall>=0.90,0.3979002833366394,0.6542766197761577,0.9,True
test_raw,recall>=0.95,0.20339526236057281,0.560126582278481,0.95,True
test_raw,recall>=0.99,0.02367551438510418,0.36502316863643464,0.9902542372881356,True
test_raw,precision>=0.80,0.756035566329956,0.8,0.7163841807909604,True
test_raw,precision>=0.90,0.9154067635536194,0.9,0.40932203389830507,True
test_raw,precision>=0.95,0.9784542322158813,0.9504950495049505,0.08135593220338982,True
test_raw,precision>=0.99,0.9943523406982422,1.0,0.0005649717514124294,True
test_calibrated,recall>=0.80,0.3903764486312866,0.7376085845682167,0.8155367231638418,True
test_calibrated,recall>=0.90,0.18731500208377838,0.6507435322876349,0.9024011299435029,True
test_calibrated,recall>=0.95,0.10950413346290588,0.5480862795977943,0.9546610169491525,True
test_calibrated,recall>=0.99,0.008699597790837288,0.36270555383183367,0.9906779661016949,True
test_calibrated,precision>=0.80,0.49369487166404724,0.8009215125516365,0.7120056497175141,True
test_calibrated,precision>=0.90,0.8117284178733826,0.9020108522183211,0.39915254237288134,True
test_calibrated,precision>=0.95,0.9411764740943909,0.960093896713615,0.057768361581920905,True
test_calibrated,precision>=0.99,,,,False
