point_delta,boot_mean_delta,ci_low,ci_high,p_value_two_sided,n_samples,n_boot_used,n_boot_skipped,metric,comparison
0.009285335464409572,0.009274109060937575,0.00815776676396802,0.010332039034565744,0.0,28098,1000,0,roc_auc,full vs no_esm2
0.03132243205321694,0.031356123586595834,0.026565149757289335,0.03605503778330191,0.0,28098,1000,0,pr_auc,full vs no_esm2
