group,n_dropped,test_roc,test_pr,test_ece,d_roc,d_roc_lo,d_roc_hi,d_pr,d_pr_lo,d_pr_hi,d_ece
FULL_BASELINE,0,0.9392944331278059,0.8344415114895589,0.009173886542530166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conservation,6,0.8141381909399154,0.6197907504835439,0.014689466673001802,0.12515624218789057,0.12009472400542032,0.13087816434827362,0.214650761006015,0.20603027924702577,0.22551658623347953,0.005515580130471636
physicochemical,16,0.9378016415039463,0.8279184743051212,0.011060795788726353,0.001492791623859624,0.0009502625734110898,0.0020524088941417744,0.006523037184437697,0.0047907650708317985,0.008452031009295582,0.0018869092461961876
aa_identity,2,0.9388093935356996,0.8338872612001806,0.007570316510293705,0.00048503959210632885,5.469599520038805e-06,0.0010140885872155503,0.0005542502893782775,-0.001125685570313753,0.002425072619691348,-0.0016035700322364604
allele_frequency,4,0.9356063614830011,0.8187250934101096,0.01175342305167119,0.00368807164480478,0.002808283161983735,0.004646001142303763,0.015716418079449346,0.012269599479335924,0.019811280740626457,0.002579536509141025
gene_constraint,5,0.9381975726482492,0.8283200356460236,0.014991240130781978,0.001096860479556705,-0.00014180233223779758,0.0024634426077273144,0.0061214758435352845,0.0018159855545971798,0.010981947107973934,0.005817353588251813
imputation_flags,5,0.9393869251429903,0.8334182272392002,0.010060141230077058,-9.249201518435335e-05,-0.0004838118095031152,0.0002691477880767345,0.0010232842503586914,-0.0005016312964941566,0.0024040522195278575,0.0008862546875468922
