method,n,roc_auc,roc_lo,roc_hi,pr_auc,pr_lo,pr_hi,coverage_original,coverage_intersection,am_pr_delta_vs_table52,note
XGBoost,446,0.938933181941599,0.9139140560730009,0.9596610341928297,0.8268733981641222,0.7556383879612782,0.8944592744081405,1.0,0.015873015873015872,0.05438576459015099,AM intersection PR-AUC delta vs Table 5.2 (0.890): +0.0544 (AM PR-AUC HIGHER on this subset --- coverage-bias hypothesis NOT supported on this subset; AM gap is real). tabix-recoverable subset only (n=446): hg19 lookups against an hg38-indexed dbNSFP file. A liftover-based or full-scan intersection is deferred (see script docstring).
SIFT,446,0.9027225828746328,0.872842889738993,0.9290087663616362,0.722216246958312,0.6395747801161481,0.8005140705468028,0.016940707523667164,0.015873015873015872,0.05438576459015099,AM intersection PR-AUC delta vs Table 5.2 (0.890): +0.0544 (AM PR-AUC HIGHER on this subset --- coverage-bias hypothesis NOT supported on this subset; AM gap is real). tabix-recoverable subset only (n=446): hg19 lookups against an hg38-indexed dbNSFP file. A liftover-based or full-scan intersection is deferred (see script docstring).
PolyPhen-2,446,0.9369708488633278,0.9143961203414532,0.9564473260267853,0.810416712803897,0.734416110785895,0.8769308763508541,0.018186347782760338,0.015873015873015872,0.05438576459015099,AM intersection PR-AUC delta vs Table 5.2 (0.890): +0.0544 (AM PR-AUC HIGHER on this subset --- coverage-bias hypothesis NOT supported on this subset; AM gap is real). tabix-recoverable subset only (n=446): hg19 lookups against an hg38-indexed dbNSFP file. A liftover-based or full-scan intersection is deferred (see script docstring).
AlphaMissense,446,0.9696640584503738,0.9514136367836525,0.983387785749203,0.944385764590151,0.9143524059004807,0.9691537072631652,0.01889814221652787,0.015873015873015872,0.05438576459015099,AM intersection PR-AUC delta vs Table 5.2 (0.890): +0.0544 (AM PR-AUC HIGHER on this subset --- coverage-bias hypothesis NOT supported on this subset; AM gap is real). tabix-recoverable subset only (n=446): hg19 lookups against an hg38-indexed dbNSFP file. A liftover-based or full-scan intersection is deferred (see script docstring).
