split,threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier_loss,log_loss,tn,fp,fn,tp,support,pathogenic_count,benign_count
train,0.5700000000000001,0.9682359487324015,0.9135874433232012,0.9107982234507382,0.9080696391254026,0.7714479740436128,0.9027283162139094,0.8319409786264511,0.776149239696162,0.07194706494402543,0.24142795337006107,95857,9087,3305,30672,138921,33977,104944
val,0.5700000000000001,0.9305163869681391,0.8097923438717711,0.8754941415292568,0.8451982275861166,0.7174001907616842,0.7873485868102288,0.7507486097247968,0.6692942431933756,0.09427673695551327,0.3041396563624234,19318,2074,1422,5265,28079,6687,21392
test,0.5700000000000001,0.9381340039180837,0.8377935441025361,0.8816641753861485,0.8580053053798923,0.7432309884700091,0.8103107344632768,0.7753226569362794,0.6964017052111185,0.08928769074750953,0.29201258554505455,19036,1982,1343,5737,28098,7080,21018
