split,threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier_loss,log_loss,tn,fp,fn,tp,support,pathogenic_count,benign_count
train,0.53,0.9749019799657485,0.9347211241227367,0.919119499571699,0.9188117703379635,0.7867355945025848,0.9182093769314537,0.8474033029117775,0.7972067331658583,0.06233087747992324,0.21200026464774568,96487,8457,2779,31198,138921,33977,104944
val,0.53,0.9445355884820557,0.854852689875263,0.8899889597207877,0.8694111640778348,0.7397388059701493,0.8301181396739943,0.7823268268620956,0.7111562543262446,0.08259888880693979,0.27180582762614225,19439,1953,1136,5551,28079,6687,21392
test,0.53,0.9478871150528496,0.8709617489638984,0.8921275535625312,0.8750214303800938,0.7577995670444416,0.8405367231638418,0.797026719346414,0.7256408360398618,0.08054050286996421,0.2662664328320617,19116,1902,1129,5951,28098,7080,21018
