metric,slice,phase1_auc,phase2_auc,paired_delta,ci_low,ci_high,p_value_one_sided,n_samples,n_boot_used,n_boot_skipped
roc_auc,full,0.5110929830432842,0.509517235609103,-0.0015757474341812072,-0.05932619637772919,0.06353931792939087,0.505,642,1000,0
pr_auc,full,0.7895517937171731,0.7833110439956339,-0.006240749721539207,-0.03657139868707597,0.027952302735504964,0.619,642,1000,0
roc_auc,holdout,0.5732919254658385,0.44169254658385093,-0.13159937888198758,-0.2567208023208439,-0.004574451816299695,0.977,201,1000,0
pr_auc,holdout,0.8375518006171565,0.7850482181824945,-0.05250358243466202,-0.10336901997595846,0.0012455305292844582,0.972,201,1000,0
