condition,n_features,test_roc_auc,test_pr_auc,test_roc_ci_low,test_roc_ci_high,test_pr_ci_low,test_pr_ci_high
full,80,0.9478871150528496,0.8709617489638984,0.9451824278200422,0.9506207288006575,0.8644740024055969,0.8775804221897529
no_esm2,78,0.93860177958844,0.8396393169106815,0.9355160527005728,0.9415638639594651,0.8311403079388644,0.8473671541270371
esm2_only,2,0.7388184320622678,0.6098867313974086,0.7314213332246897,0.7457751047108728,0.5986885497687947,0.6204859858381335
