model,roc_auc,pr_auc,alpha
xgboost_calibrated,0.9379571982422384,0.8303919154792884,
esm2_llr_zero_shot,0.7345382226856401,0.6036713299230753,
rank_fusion_uniform,0.8949391172914473,0.7839333560162032,
rank_fusion_tuned,0.9411948757400841,0.8515896816067341,0.17500000000000002
