slice,score,n,n_pos,roc_auc,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc,pr_auc_ci_lo,pr_auc_ci_hi,note
full,xgb_calibrated,642,498,0.5110929830432842,0.4551199631561046,0.5635761185126045,0.7895517937171731,0.7491003003658347,0.8295442886253145,
full,esm2_llr,642,498,0.5151717983043285,0.44083226843952467,0.5265174440721616,0.7715221136578686,0.7226344575351936,0.7996439538726491,
full,rank_fusion_xgb_esm2,642,498,0.5173890004462294,0.46111355135099624,0.5725327229552063,0.7772231476145577,0.7351626511816477,0.8229345080389965,
family_holdout_only,xgb_calibrated,201,161,0.5732919254658385,0.4755182468579058,0.6697436924720578,0.8375518006171565,0.7737709402582373,0.8965774828226605,
family_holdout_only,esm2_llr,201,161,0.5517080745341614,0.41962700988560037,0.5736193023547527,0.8213390480161256,0.738442140930666,0.8646692004671372,
family_holdout_only,rank_fusion_xgb_esm2,201,161,0.588276397515528,0.4952198591302729,0.6828156565656567,0.8513961271574761,0.7876400217810907,0.913748439580104,
