trial,state,val_pr_auc,val_roc_auc,best_iteration,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma,reg_alpha,reg_lambda,max_delta_step,score
11,COMPLETE,0.8563742526568885,0.9450532912295138,226,9,0.025270007666760744,7,0.6692435870268334,0.7418003024092664,0.7477979972216323,0.5677416068295588,0.0029296393742613077,5.3265875135277945,3,0.8563742526568885
22,COMPLETE,0.8561541774013739,0.9450377999588165,260,8,0.029097322541715587,5,0.7829090958050685,0.6445423078820307,0.792743512953328,0.5021857115649174,0.0009138902854286026,3.1976136057011795,2,0.8561541774013739
23,COMPLETE,0.8561344621850377,0.9446276972287627,95,7,0.06824402427524717,5,0.800093020357904,0.6081523425224805,0.7790084571028478,0.5914935990997393,0.0007979470742467553,3.6349534209367453,2,0.8561344621850377
9,COMPLETE,0.855923485513056,0.9443421608130356,312,7,0.024807683526628328,4,0.6670121884077671,0.8444694352468389,0.8282041088177708,0.09130965029659435,0.0023771840035840693,1.7958553134496942,2,0.855923485513056
10,COMPLETE,0.8557691796257512,0.9448915137085442,227,7,0.02661533477918544,7,0.691159108473013,0.6820082927369271,0.7752939947386722,1.1751423722453156,0.0018868291932896256,7.203398090220725,3,0.8557691796257512
24,COMPLETE,0.855345053693665,0.9447166741662312,214,6,0.07300280554528094,6,0.8326757975044653,0.5785931415253522,0.7978018265153931,0.0466567844309532,0.0008608302642404608,8.01179327833723,2,0.855345053693665
39,COMPLETE,0.8550485220449467,0.9448543094925473,206,9,0.023055427470763657,8,0.6522691253827463,0.7781052229855012,0.6787687797606368,0.9476804095623,0.0003185169667906743,4.613478693878657,4,0.8550485220449467
2,COMPLETE,0.8549197325872162,0.9441476705658811,210,7,0.02649083634077794,3,0.7782266451527922,0.7552314928976662,0.9033291826268561,0.0008674832802525467,0.026083880465609915,3.0452001137785722,0,0.8549197325872162
37,COMPLETE,0.8546556192574482,0.9449758663339343,242,8,0.031077457339159273,5,0.6545042364363733,0.6852683207368964,0.707661446604841,2.8055944759247717,0.0021310296722520912,1.6625078900151025,5,0.8546556192574482
6,COMPLETE,0.8543858688263899,0.9437197172222329,395,5,0.03455230480658175,9,0.7748636643427562,0.6764205293593214,0.7942132374212119,0.00045940816125026896,0.5881655048861893,0.4015878475363172,6,0.8543858688263899
