variant,n_features,test_roc_auc,test_roc_auc_ci_lo,test_roc_auc_ci_hi,test_pr_auc,test_pr_auc_ci_lo,test_pr_auc_ci_hi,test_brier,test_f1
full,34,0.9379639989774705,0.9350548068234417,0.9406991893829867,0.8362836456449279,0.8269258025774407,0.8435571011181444,0.09314365703836655,0.7693277046184865
no_af,30,0.935067624978966,0.9317963007179336,0.9377330279888035,0.8247578854726475,0.8150091352346417,0.8323452132084271,0.09757403967991571,0.7625
no_conservation,25,0.797003530199834,0.7909220572782174,0.8026012507321817,0.590894135394983,0.5796880209057221,0.6034474942471927,0.180842923719827,0.5643857007417322
no_aa_props,16,0.9363872834584078,0.9332922061068957,0.9393146145370757,0.8330054065761129,0.8238727415349617,0.8399453430528794,0.09420383685711198,0.7700521324037435
