eval_set,threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier_loss,log_loss,tn,fp,fn,tp,support,pathogenic_count,benign_count
val_raw,0.5700000000000001,0.9284230660994065,0.8060861258903741,0.8736778375298265,0.8367075746665267,0.7209400506614129,0.7661133542694781,0.7428405713042848,0.659752977253873,0.09387342084456153,0.3015511395204537,19409,1983,1564,5123,28079,6687,21392
val_calibrated,0.5700000000000001,0.9291583561871521,0.8003221049996151,0.8752448449018839,0.7934816969238587,0.7981273408239701,0.6373560640047854,0.708738671322857,0.6370830703003825,0.0872135685281836,0.2809043716518201,20314,1078,2425,4262,28079,6687,21392
test_raw,0.5700000000000001,0.938384666788166,0.8382000011821704,0.8828742259235532,0.8561915251011643,0.7501650600818698,0.8024011299435029,0.7754043540571897,0.6970281842404167,0.08764409524285624,0.2860121998795473,19126,1892,1399,5681,28098,7080,21018
test_calibrated,0.5700000000000001,0.9379571982422384,0.8303919154792884,0.8834792511922557,0.8169289519394998,0.824633230979188,0.6827683615819209,0.747025189306135,0.6772562055771867,0.08262413511037787,0.2725805130964688,19990,1028,2246,4834,28098,7080,21018
