metric_set,roc_auc__mean,roc_auc__median,roc_auc__ci_lo,roc_auc__ci_hi,roc_auc__std,roc_auc__n_effective,pr_auc__mean,pr_auc__median,pr_auc__ci_lo,pr_auc__ci_hi,pr_auc__std,pr_auc__n_effective,f1__mean,f1__median,f1__ci_lo,f1__ci_hi,f1__std,f1__n_effective,brier_loss__mean,brier_loss__median,brier_loss__ci_lo,brier_loss__ci_hi,brier_loss__std,brier_loss__n_effective,mcc__mean,mcc__median,mcc__ci_lo,mcc__ci_hi,mcc__std,mcc__n_effective,precision__mean,precision__median,precision__ci_lo,precision__ci_hi,precision__std,precision__n_effective,recall__mean,recall__median,recall__ci_lo,recall__ci_hi,recall__std,recall__n_effective
val_raw,0.9284048634047578,0.9284024143637983,0.9252182133059165,0.9314303919851333,0.0016319848750621496,1000,0.806110668953967,0.806213166666617,0.7960562511341253,0.8144909978550576,0.004877832927544478,1000,0.7429564175558746,0.7431056354785689,0.734484190282825,0.750794371675147,0.004200445910569189,1000,0.09386225767425796,0.0938331164820029,0.09156637706791522,0.09614242565416446,0.0011645676245193614,1000,0.659916599021908,0.6600672030003893,0.6496480249769913,0.6697616452396071,0.0052400282500594236,1000,0.7210779760583318,0.7211828219327178,0.7101573230652798,0.7308336715140272,0.00530989597674648,1000,0.7662319411587251,0.7661777770048015,0.7562592741000279,0.7763668385125598,0.0051246389071014035,1000
val_calibrated,0.9291388260972799,0.9291160488723376,0.9260180899848816,0.9322024640772367,0.0016160956113665775,1000,0.8003281144069442,0.8004527225711322,0.7905594758981247,0.8089997716600318,0.0048158304912713015,1000,0.7086606714290713,0.7087832203181671,0.6996282882727903,0.7180626552308914,0.004814986798957262,1000,0.08721634194489915,0.08726412399471487,0.08510829136516747,0.08930737170027005,0.0010835716339529214,1000,0.6370411781203507,0.637382640687745,0.6262615470058176,0.6476997198850993,0.005662143324025747,1000,0.7982429333963159,0.7981719685278713,0.7868665895514012,0.8082911965971581,0.0055324948178239524,1000,0.6371821204153965,0.6370056527459944,0.6261685993800991,0.6488705007626745,0.0058856650890317126,1000
test_raw,0.9384314548333118,0.9384044132535908,0.9353231897727853,0.9413573148943365,0.0015083288396386236,1000,0.8382316459893905,0.8382073919496511,0.8298413270325234,0.8459457555278755,0.004249679330123193,1000,0.7755149498852425,0.775504539074799,0.7678061198413845,0.7828556362512555,0.003767445844234542,1000,0.08761023668551159,0.08761306875751972,0.08529024760073509,0.08991857379812668,0.0011222183353559833,1000,0.6971932875446099,0.6972191564421454,0.6872588024072308,0.7066159771397036,0.00485239419320865,1000,0.7502154188052743,0.7503453840969943,0.7404486851163518,0.7594689759267805,0.004857592090814456,1000,0.8026065303724006,0.8025145765455259,0.7931653993496535,0.812068376972976,0.004855173204335942,1000
test_calibrated,0.9380036758344436,0.9379731807761409,0.9349680604774807,0.9409313360527883,0.0015165483589080714,1000,0.8304223022499573,0.8305086038515633,0.822162952588858,0.8380782137338517,0.0042008886257815375,1000,0.7472036995304829,0.7473347984136323,0.7391983671316352,0.7548390077192844,0.004056260413601793,1000,0.08259123474216343,0.0826220724397835,0.08046845179781752,0.08460858649034707,0.0010503631359745915,1000,0.6774978510376614,0.6777230643453016,0.667826469736051,0.6867687905980386,0.0048830789583351525,1000,0.8247904833837425,0.8248780950644493,0.8149846329509939,0.8336647924171291,0.004761429258417984,1000,0.6829839663042929,0.6829682008108741,0.6722796103444962,0.6930601885290458,0.005426632215186868,1000
