slice,n,n_positive,roc_auc_calibrated,pr_auc_calibrated,roc_auc_raw,pr_auc_raw
full,642,498,0.509517235609103,0.7833110439956339,0.5090361445783133,0.7843476286846061
family_holdout_only,201,161,0.44169254658385093,0.7850482181824945,0.445108695652174,0.7806124955214401
