source,slice,n,n_pos,roc_auc,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc,pr_auc_ci_lo,pr_auc_ci_hi,brier,f1
denovo_db,full,642,498,0.4679551539491299,0.41536022959756086,0.5193662499392767,0.7607226290569957,0.7205371494035325,0.8060310481861671,0.569417558286799,0.06153846153846154
denovo_db,family_holdout_only,201,161,0.48687888198757767,0.38349126638150277,0.5834073781114276,0.7888269291987202,0.7121629586696732,0.8602365930920829,0.5839134112236919,0.07058823529411765
