split,threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier_loss,log_loss,tn,fp,fn,tp,support,pathogenic_count,benign_count
train,0.5450000000000002,0.9753123579472428,0.9345488767347846,0.9213509836525795,0.9194528316595771,0.7941904688975675,0.9157371162845455,0.8506438472263991,0.8013559567501459,0.06212405895624627,0.21222709628692335,96881,8063,2863,31114,138921,33977,104944
val,0.5450000000000002,0.9450532912295138,0.8563742526568885,0.891271056661562,0.8687620371926954,0.7452091767881242,0.825781366831165,0.7834290983897283,0.7127688657227341,0.0822350967354552,0.27129808397789734,19504,1888,1165,5522,28079,6687,21392
test,0.5450000000000002,0.9474573146342682,0.8697580779531952,0.8927325788312336,0.8723817438160351,0.7638203996885544,0.8313559322033899,0.7961585283376167,0.724746766060133,0.08094243201446569,0.26764129079302174,19198,1820,1194,5886,28098,7080,21018
