eval_set,constraint,threshold,precision,recall,achieved
val_raw,recall>=0.80,0.5765696167945862,0.759511641113004,0.8000598175564528,True
val_raw,recall>=0.90,0.30416715145111084,0.645437975769272,0.9002542246149244,True
val_raw,recall>=0.95,0.1438944786787033,0.5331487076200068,0.9500523403618962,True
val_raw,recall>=0.99,0.035289037972688675,0.3682834575592391,0.9901301031852848,True
val_raw,precision>=0.80,0.6808196902275085,0.800032175032175,0.743681770599671,True
val_raw,precision>=0.90,0.8798379302024841,0.9000812347684809,0.4970838941229251,True
val_raw,precision>=0.95,0.9495389461517334,0.9501726689689196,0.288021534320323,True
val_raw,precision>=0.99,0.9880551695823669,0.9907407407407407,0.06400478540451622,True
val_calibrated,recall>=0.80,0.4014962613582611,0.7462503408781019,0.8184537161656946,True
val_calibrated,recall>=0.90,0.19677790999412537,0.6321480557288418,0.9092268580828473,True
val_calibrated,recall>=0.95,0.08695652335882187,0.515300370430021,0.9569313593539704,True
val_calibrated,recall>=0.99,0.01736385188996792,0.3592548467453699,0.9920741737700015,True
val_calibrated,precision>=0.80,0.5185185074806213,0.801711609882125,0.7424854194706146,True
val_calibrated,precision>=0.90,0.7932862043380737,0.905670971364402,0.48242859279198447,True
val_calibrated,precision>=0.95,0.9047619104385376,0.9552077711818673,0.26469268730372364,True
val_calibrated,precision>=0.99,0.9851852059364319,0.9907407407407407,0.06400478540451622,True
test_raw,recall>=0.80,0.6048002243041992,0.7941671340437465,0.8,True
test_raw,recall>=0.90,0.3390800952911377,0.682187968315136,0.9001412429378531,True
test_raw,recall>=0.95,0.16854524612426758,0.5754127812473265,0.95,True
test_raw,recall>=0.99,0.032232627272605896,0.38189147962519066,0.9901129943502824,True
test_raw,precision>=0.80,0.6211656332015991,0.8000285673475218,0.7911016949152543,True
test_raw,precision>=0.90,0.8606352210044861,0.900068760027504,0.5546610169491526,True
test_raw,precision>=0.95,0.9338772296905518,0.9501818181818181,0.3690677966101695,True
test_raw,precision>=0.99,0.991706371307373,0.9911504424778761,0.04745762711864407,True
test_calibrated,recall>=0.80,0.4027777910232544,0.7905592469545958,0.8066384180790961,True
test_calibrated,recall>=0.90,0.19677790999412537,0.6511627906976745,0.9175141242937853,True
test_calibrated,recall>=0.95,0.11034482717514038,0.5619759236197592,0.9560734463276837,True
test_calibrated,recall>=0.99,0.01736385188996792,0.38085406932522003,0.9901129943502824,True
test_calibrated,precision>=0.80,0.4395270347595215,0.8014632047052073,0.7891242937853107,True
test_calibrated,precision>=0.90,0.7819548845291138,0.9051848295727316,0.5326271186440678,True
test_calibrated,precision>=0.95,0.8887677192687988,0.954417103670835,0.334180790960452,True
test_calibrated,precision>=0.99,0.9899049401283264,0.9953488372093023,0.030225988700564973,True
