metric_set,roc_auc__mean,roc_auc__median,roc_auc__ci_lo,roc_auc__ci_hi,roc_auc__std,roc_auc__n_effective,pr_auc__mean,pr_auc__median,pr_auc__ci_lo,pr_auc__ci_hi,pr_auc__std,pr_auc__n_effective,f1__mean,f1__median,f1__ci_lo,f1__ci_hi,f1__std,f1__n_effective,brier_loss__mean,brier_loss__median,brier_loss__ci_lo,brier_loss__ci_hi,brier_loss__std,brier_loss__n_effective,mcc__mean,mcc__median,mcc__ci_lo,mcc__ci_hi,mcc__std,mcc__n_effective,precision__mean,precision__median,precision__ci_lo,precision__ci_hi,precision__std,precision__n_effective,recall__mean,recall__median,recall__ci_lo,recall__ci_hi,recall__std,recall__n_effective
val_raw,0.9431130494070025,0.9431210984933103,0.9402911268278861,0.9459807515387871,0.0014839729130321745,1000,0.8518410533919286,0.8520662629819213,0.8433810594045957,0.8595860207114748,0.0040777120599365686,1000,0.7803140380983316,0.780423572646203,0.7720191778597376,0.7880034819770424,0.004040039677307463,1000,0.08204286058751532,0.08200807268240413,0.07988802064754673,0.08415819716043617,0.001122957217623216,1000,0.708684680767744,0.7087961901227409,0.6983672657814082,0.7180507947887446,0.005072768276024036,1000,0.7440282263185813,0.7441032223965538,0.7336613808004918,0.7540394790394791,0.005309106204656564,1000,0.8203480712764684,0.8204748035777576,0.8111375340592888,0.8295344314990345,0.00476658688246104,1000
val_calibrated,0.9437904966914638,0.9437933572556811,0.9409805445222899,0.9466138878420209,0.0014660943888318706,1000,0.8467594371770015,0.8469367440182541,0.8383120858889423,0.8545314277855185,0.004111223481975849,1000,0.7698099696638949,0.7698490225092129,0.7614320728331184,0.7779268277129449,0.004235708004551776,1000,0.07606698779847215,0.07606683277802984,0.07392725901409859,0.0781228887752555,0.0010751425123712108,1000,0.7029551964669338,0.7029743272036477,0.693071069809169,0.7129715570794445,0.005218795499700939,1000,0.8043709755525924,0.8043924518006105,0.7937729570297265,0.8139733631282295,0.0052350924001393915,1000,0.7381218115914373,0.738025684077086,0.7279254050825916,0.7486471046139539,0.005395332049948364,1000
test_raw,0.9479043643295751,0.9478761270413417,0.9451202843635216,0.9506106117727589,0.001377639392835048,1000,0.870965261378379,0.8708889991733113,0.8644323855057163,0.8777839012432201,0.0034427798951556974,1000,0.7982759933513849,0.7982008945867076,0.7913607709166793,0.8048964123521304,0.00340278971936634,1000,0.07923463636902417,0.07924312981708288,0.07717697758712044,0.08133535243285979,0.0010650110472912489,1000,0.7276350340394394,0.7275993777914669,0.7186223181000803,0.7365008614176298,0.004397845055692345,1000,0.7657157940783061,0.7657404196077222,0.7566377398665229,0.7747691151153068,0.004590690875471779,1000,0.8337527748625007,0.8336660536983056,0.8256459719735435,0.8427379863290844,0.004430236803289183,1000
test_calibrated,0.9476032804159613,0.9475687310433465,0.9448361462780537,0.950316561131556,0.0013837455942143954,1000,0.8646700374109869,0.864596175874347,0.8580202294938621,0.8714232802233949,0.0034909220527642344,1000,0.7872472594928501,0.787262373137388,0.7801749007498897,0.7945921929463282,0.003742969074350457,1000,0.07478230904218414,0.07480359051701514,0.07273384577592566,0.07683543701303404,0.001043223447757967,1000,0.7215068481353009,0.7215928706077694,0.7121194941805128,0.7307166293381425,0.004697541329494678,1000,0.826619917402622,0.8265172027518894,0.8172300655635342,0.8355256281803248,0.004543082287470581,1000,0.751477498439233,0.7514636681019422,0.7418640452746723,0.7615756392698166,0.0050946286519044145,1000
