eval_set,bin,edge_low,edge_high,count,mean_predicted_prob,fraction_positive,gap
val_raw,0,0.0,0.007536568554739157,1872,0.005757168818809466,0.004807692307692308,0.0009494765111171585
val_raw,1,0.007536568554739157,0.010924629991253215,1872,0.009175411248669172,0.0016025641025641025,0.00757284714610507
val_raw,2,0.010924629991253215,0.01502630338072777,1872,0.01280935777651751,0.0037393162393162395,0.00907004153720127
val_raw,3,0.01502630338072777,0.021039841448267302,1872,0.017847453949984927,0.009081196581196582,0.008766257368788345
val_raw,4,0.021039841448267302,0.030307746181885403,1872,0.025326566040340778,0.008547008547008548,0.01677955749333223
val_raw,5,0.030307746181885403,0.04482987150549893,1872,0.03695574131471893,0.017094017094017096,0.019861724220701836
val_raw,6,0.04482987150549893,0.06826243897279105,1872,0.055527193107618354,0.03418803418803419,0.021339158919584163
val_raw,7,0.06826243897279105,0.10738293677568435,1871,0.08624887910439075,0.049706039551042226,0.03654283955334852
val_raw,8,0.10738293677568435,0.17366237342357635,1872,0.1366557158712839,0.09027777777777778,0.04637793809350611
val_raw,9,0.17366237342357635,0.30167098840077716,1872,0.23174107146377748,0.13514957264957264,0.09659149881420484
val_raw,10,0.30167098840077716,0.5154237389564514,1872,0.40012187701769364,0.266025641025641,0.13409623599205261
val_raw,11,0.5154237389564514,0.7436922788619996,1872,0.6359855767307628,0.4716880341880342,0.16429754254272866
val_raw,12,0.7436922788619996,0.8771876573562623,1872,0.8149642962166387,0.6826923076923077,0.13227198852433097
val_raw,13,0.8771876573562623,0.9544684767723084,1872,0.9186770001219379,0.843482905982906,0.07519409413903189
val_raw,14,0.9544684767723084,1.0,1872,0.9767299402091238,0.9540598290598291,0.022670111149294736
val_calibrated,0,0.0,0.0033232627902179956,927,0.0010823336120399359,0.0010787486515641855,3.584960475750418e-06
val_calibrated,2,0.0033232627902179956,0.004524887073785067,3309,0.0033232627902179956,0.003324267150196434,1.0043599784383128e-06
val_calibrated,3,0.004524887073785067,0.009108040481805801,2135,0.00515256915612264,0.005152224824355972,3.443317666681697e-07
val_calibrated,5,0.009108040481805801,0.019927537068724632,4509,0.011532503899610686,0.011532490574406742,1.332520394373149e-08
val_calibrated,6,0.019927537068724632,0.03669724613428116,1266,0.02527646172209091,0.02527646129541864,4.2667227043158285e-10
val_calibrated,7,0.03669724613428116,0.05808080732822418,2633,0.045955182946977896,0.04595518420053171,1.2535538163049864e-09
val_calibrated,8,0.05808080732822418,0.11034482717514038,1560,0.07692312142119194,0.07692307692307693,4.449811501217038e-08
val_calibrated,9,0.11034482717514038,0.19677790999412537,2122,0.1220546666599466,0.12205466540999058,1.2499560275713861e-09
val_calibrated,10,0.19677790999412537,0.36000001430511475,2109,0.2579421546361411,0.2579421526789948,1.957146333886328e-09
val_calibrated,11,0.36000001430511475,0.5785714387893677,1810,0.46298342686331734,0.46298342541436466,1.4489526800609553e-09
val_calibrated,12,0.5785714387893677,0.7819548845291138,1871,0.6755745686801725,0.6755745590593266,9.620845897728714e-09
val_calibrated,13,0.7819548845291138,0.9041666388511658,1735,0.8340057588448099,0.8340057636887608,4.843950907051919e-09
val_calibrated,14,0.9041666388511658,1.0,2093,0.949355868164264,0.9493549928332538,8.753310102305178e-07
test_raw,0,0.0,0.007431747453908125,1874,0.005655019233147877,0.0021344717182497333,0.0035205475148981434
test_raw,1,0.007431747453908125,0.010602022148668766,1873,0.009000125035814627,0.0058729311265349705,0.0031271939092796562
test_raw,2,0.010602022148668766,0.014528327435255053,1873,0.012489995183259073,0.0069407367859049655,0.005549258397354108
test_raw,3,0.014528327435255053,0.02028645674387614,1873,0.01713256485903416,0.009076348104644954,0.008056216754389205
test_raw,4,0.02028645674387614,0.029800109565258026,1873,0.024701630447041968,0.011211959423384944,0.013489671023657024
test_raw,5,0.029800109565258026,0.04455508440732958,1873,0.03651503085278599,0.012813667912439935,0.023701362940346055
test_raw,6,0.04455508440732958,0.06922101825475695,1873,0.05586229716822927,0.028830752802989856,0.027031544365239413
test_raw,7,0.06922101825475695,0.11177141070365905,1874,0.08841785994083039,0.04855923159018143,0.039858628350648954
test_raw,8,0.11177141070365905,0.1914259970188141,1873,0.14822223782937155,0.08862786972770956,0.05959436810166199
test_raw,9,0.1914259970188141,0.3360469142595925,1873,0.2568958560477204,0.1607047517351842,0.09619110431253622
test_raw,10,0.3360469142595925,0.5566826184590654,1873,0.44217141983792924,0.2979177789642285,0.14425364087370074
test_raw,11,0.5566826184590654,0.7755405068397523,1873,0.6720604351097673,0.5371062466631074,0.13495418844665996
test_raw,12,0.7755405068397523,0.8923363526662191,1873,0.8391501335173575,0.7266417512012814,0.11250838231607607
test_raw,13,0.8923363526662191,0.9619134942690531,1873,0.9299152581308592,0.8782701548318206,0.0516451032990386
test_raw,14,0.9619134942690531,1.0,1874,0.9812073099129737,0.9647812166488794,0.016426093264094277
test_calibrated,0,0.0,0.0033232627902179956,963,0.0010358361047283595,0.003115264797507788,0.002079428692779429
test_calibrated,2,0.0033232627902179956,0.004524887073785067,3425,0.0033234190369827036,0.004963503649635037,0.0016400846126523334
test_calibrated,3,0.004524887073785067,0.009108040481805801,2204,0.005081253639251643,0.006805807622504537,0.0017245539832528942
test_calibrated,5,0.009108040481805801,0.019927537068724632,4329,0.011563107570545947,0.012243012243012243,0.0006799046724662965
test_calibrated,6,0.019927537068724632,0.03669724613428116,1174,0.025151338426672314,0.02385008517887564,0.0013012532477966743
