eval_set,threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier_loss,log_loss,tn,fp,fn,tp,support,pathogenic_count,benign_count
val_raw,0.53,0.9431118316509367,0.851748337840943,0.8899533459168774,0.8660468739286835,0.743864406779661,0.8203977867504112,0.7802588536481297,0.7085979844727148,0.08205463189835804,0.26963574214728375,19503,1889,1201,5486,28079,6687,21392
val_calibrated,0.53,0.9437877082415461,0.8466683096246073,0.894868050856512,0.8410544804501842,0.8042026388662649,0.7382981905189173,0.7698425074068299,0.7029557426622599,0.07606868928349109,0.25009277377463435,20190,1202,1750,4937,28079,6687,21392
test_raw,0.53,0.947872841572975,0.870907219691069,0.8938002704818848,0.8738447351825958,0.7656979761286975,0.8336158192090396,0.7982147687314038,0.7275353858540528,0.07926323804200724,0.262105045961809,19212,1806,1178,5902,28098,7080,21018
test_calibrated,0.53,0.9475707162222532,0.8646088763671769,0.8976083707025411,0.8491337529897698,0.8264719589871058,0.751412429378531,0.7871569135163128,0.7213618151600651,0.07480911636957549,0.2491286588814361,19901,1117,1760,5320,28098,7080,21018
